Open,High,Low,Close,LongVolume,ShortVolume,LongCount,ShortCount,LongAvgPnlOpenSystem,ShortAvgPnlOpenSystem,LongPercentAveragePositionMaxTradingPower,ShortPercentAveragePositionMaxTradingPower,Date
74.55,74.84,73.86,74.25,27472.5,24205.5,38,20,0.226445576486314,-0.102802615171326,0.0693976973684211,0.174339,2022-08-03 14:10:00.000
74.28,75.27,73.85,74.85,27395.1,25374.15,38,20,0.225948306738624,-0.107844875776113,0.0660190131578947,0.177806175,2022-08-03 14:15:00.000
74.86,75.4,74.19,74.32,28910.48,31734.64,37,22,0.221588813253684,-0.086261007466796,0.0655656396396397,0.1861716,2022-08-03 14:20:00.000
74.3,74.47,73.75,74,28786,21164,37,18,0.216329012120192,-0.10151715518635,0.0652833333333333,0.132418888888889,2022-08-03 14:25:00.000
74.01,74.97,73.82,74.95,29155.55,21810.45,38,20,0.225840256031689,-0.104470248496662,0.0662551425438597,0.124329558333333,2022-08-03 14:30:00.000
74.92,74.98,74.17,74.47,28819.89,22192.06,37,21,0.218975827680594,-0.0916364810881423,0.0672074977477478,0.125807017460318,2022-08-03 14:35:00.000
74.49,74.95,73.25,74.05,28657.35,22066.9,37,22,0.212100980794252,-0.0825885276860026,0.0668284572072072,0.119411234848485,2022-08-03 14:40:00.000
74.06,74.45,73.44,74.3,29125.6,22438.6,37,23,0.212054030845494,-0.0822883169262805,0.0770946171171171,0.118158536231884,2022-08-03 14:45:00.000
74.35,74.87,74.21,74.77,29608.92,22879.62,37,23,0.219338308748817,-0.0887808175823179,0.0856655382882883,0.125407711594203,2022-08-03 14:50:00.000
